0.659	0.688	0.667	0.613	0.583	0.569	0.515	0.518	0.508	0.5
0.664	0.696	0.674	0.613	0.579	0.569	0.51	0.515	0.51	0.503
0.662	0.698	0.671	0.601	0.576	0.566	0.51	0.513	0.515	0.498
0.659	0.693	0.669	0.598	0.576	0.564	0.51	0.515	0.513	0.5
0.664	0.681	0.664	0.596	0.583	0.569	0.513	0.52	0.51	0.498
0.667	0.688	0.664	0.593	0.583	0.566	0.515	0.522	0.508	0.503
0.667	0.693	0.669	0.591	0.581	0.569	0.515	0.52	0.508	0.508
0.667	0.696	0.679	0.593	0.576	0.569	0.51	0.513	0.508	0.503
0.664	0.693	0.681	0.583	0.574	0.569	0.508	0.51	0.513	0.498
0.659	0.693	0.671	0.583	0.579	0.566	0.513	0.513	0.518	0.5
0.662	0.684	0.664	0.583	0.581	0.566	0.513	0.515	0.51	0.5
0.667	0.688	0.659	0.588	0.583	0.569	0.513	0.52	0.508	0.503
0.669	0.691	0.662	0.588	0.581	0.571	0.513	0.518	0.508	0.505
0.667	0.688	0.667	0.588	0.579	0.571	0.51	0.513	0.508	0.5
0.659	0.691	0.669	0.583	0.574	0.569	0.508	0.51	0.513	0.5
0.657	0.686	0.669	0.586	0.581	0.569	0.513	0.513	0.52	0.503
0.659	0.679	0.667	0.586	0.579	0.562	0.513	0.518	0.513	0.5
0.662	0.679	0.669	0.588	0.583	0.569	0.513	0.518	0.508	0.505
0.664	0.691	0.674	0.591	0.579	0.569	0.515	0.518	0.508	0.508
0.659	0.696	0.676	0.586	0.576	0.571	0.513	0.513	0.51	0.505
0.654	0.701	0.676	0.581	0.576	0.569	0.51	0.51	0.513	0.503
0.652	0.696	0.674	0.579	0.581	0.571	0.51	0.515	0.515	0.503
0.906	0.691	0.671	0.581	0.581	0.566	0.513	0.52	0.513	0.503
3.333	0.686	0.989	0.586	0.581	0.566	0.515	0.518	0.508	0.508
3.442	0.681	3.25	0.586	0.581	0.571	0.515	0.52	0.508	0.508
